A1,1.543
A2,210.722
A3,420.458
A4,190.096
A5,229.217
A6,179.789
A7,195.092
A8,334.485
A9,227.323
A10,309.158
A11,201.672
A12,422.523
B1,1945.163
B2,293.284
B3,168.164
B4,266.764
B5,411.891
B6,454.704
B7,97.696
B8,106.476
B9,156.974
B10,559.636
B11,254.056
B12,95.857
C1,635.22
C2,379.78
C3,185.437
C4,217.773
C5,622.6
C6,342.271
C7,229.265
C8,292.73
C9,264.284
C10,320.749
C11,557.315
C12,558.879
D1,202.128
D2,469.25
D3,53.847
D4,429.087
D5,1245.207
D6,399.82
D7,188.738
D8,586.041
D9,349.501
D10,438.203
D11,500.932
D12,431.334
E1,72.584
E2,462.452
E3,279.608
E4,411.246
E5,441.085
E6,742.159
E7,490.334
E8,440.99
E9,1232.417
E10,1439.826
E11,847.538
E12,704.324
F1,25.519
F2,811.278
F3,958.614
F4,661.095
F5,744.884
F6,223.843
F7,318.621
F8,491.712
F9,527.545
F10,428.585
F11,719.542
F12,637.33
G1,10.047
G2,559.596
G3,841.639
G4,475.811
G5,1676.007
G6,0.275
G7,0.527
G8,0.443
G9,0.53
G10,0.45
G11,0.541
G12,0.72
H1,6.508
H2,0.495
H3,0.369
H4,0.554
H5,0.451
H6,0.543
H7,0.385
H8,0.473
H9,0.589
H10,0.499
H11,0.529
H12,0.413
